,age,certainty,education,id,income,intention,maternity,partner,positivity,text,text1,text2,woning,0,1,2,3,4,5,6,7,8
0,30.0,True,mbo,800100.0,1400.0,Zeker wel,True,Ja,True,Studeren werken en een goed sparen huis verbouwen en de eerst kind als geven wat hij nodig heeft dan pas over andere kinderen beginnen en genieten van de kleine en op reis gaan hier en daar om een beetje van deze mooie wereld te zien kinderen krijgen kan altijd nog geen haast we zijn nog jongen en onze kleine jongen ook en het is zo leuk met hem als we dat gelijk doen dan hebben niet genoeg aandacht voor onze lieve jongen. Geen haast   Rustig aan   Genieten,Studeren werken en een goed sparen huis verbouwen en de eerst kind als geven wat hij nodig heeft dan pas over andere kinderen beginnen en genieten van de kleine en op reis gaan hier en daar om een beetje van deze mooie wereld te zien kinderen krijgen kan altijd nog geen haast we zijn nog jongen en onze kleine jongen ook en het is zo leuk met hem als we dat gelijk doen dan hebben niet genoeg aandacht voor onze lieve jongen.,Geen haast   Rustig aan   Genieten,Huurwoning,0.016433217882877216,0.015298567726858892,0.011198625242104753,0.00928825307491934,0.012101281492505223,0.7989299327135087,0.01073122617090121,0.11683576935902237,0.009183160157408565
1,41.0,True,mbo,800274.0,,Zeker niet,True,Ja,False,"ik ben al over de leeftijd van kinderen heen ik ben te oud, en vind kleine kinderen niet leuk",ik ben al over de leeftijd van kinderen heen,"ik ben te oud, en vind kleine kinderen niet leuk",Koopwoning,0.0906565255485475,0.09455151474103332,0.0222608704585582,0.3974489577114582,0.11001156875863671,0.11802533697336912,0.07742735999636352,0.021695616762735882,0.06792225572280586
2,31.0,True,hbo,800561.0,3043.0,Zeker wel,False,Ja,True,De wens is er zeker. Er bestaat echter de kans dat dat wij geen kinderen kunnen krijgen. Partner wil dan geen IVF traject of dergelijke. Ik weet heel zeker dat ik kinderen wil.  Zeker gezien mijn leeftijd (en leeftijdsgenoten steeds meer kinderen krijgen) begint dit steeds meer te kriebelen.,De wens is er zeker. Er bestaat echter de kans dat dat wij geen kinderen kunnen krijgen. Partner wil dan geen IVF traject of dergelijke.,Ik weet heel zeker dat ik kinderen wil.  Zeker gezien mijn leeftijd (en leeftijdsgenoten steeds meer kinderen krijgen) begint dit steeds meer te kriebelen.,Koopwoning,0.10695537137798965,0.11944581610150636,0.11024054419249296,0.057101807277649644,0.0842719834530726,0.14646071849856526,0.1083741771057248,0.1302052772603929,0.13694431432522833
3,26.0,False,wo,800573.0,4100.0,Weet het niet,False,Nee,False,"Ik verwacht over 3-7 jaar kinderen te krijgen. Afhankelijk van hoe het leven loopt zal dit dus wel of niet in 3 jaar zijn. Momenteel leeftijd, daarbij spelen ook stabiliteit relatie/financiele situatie en woning een rol",Ik verwacht over 3-7 jaar kinderen te krijgen. Afhankelijk van hoe het leven loopt zal dit dus wel of niet in 3 jaar zijn.,"Momenteel leeftijd, daarbij spelen ook stabiliteit relatie/financiele situatie en woning een rol",Koopwoning,0.06961897526780376,0.08855908650439233,0.38483270481228826,0.03275711175519973,0.05537619616370648,0.0464677884883713,0.12539227409288287,0.14793375568697228,0.04906210012268275
4,42.0,True,hbo,800909.0,0.0,Zeker niet,True,Ja,False,Ik ben 42 en vind kinderen voldoende,Ik ben 42 en vind kinderen voldoende,Nee,Koopwoning,0.04212544441106729,0.06370427964720875,0.08705733512761071,0.40280873235315084,0.0730524007929489,0.10101471901871265,0.06358650047332048,0.05293811713345349,0.11371246566995978
5,38.0,False,hbo,801574.0,,Waarschijnlijk niet,False,Ja,False,Voor mij nog onduidelijk. Heb daar geen echte redenen voor.,Voor mij nog onduidelijk.,Heb daar geen echte redenen voor.,Koopwoning,0.08135792631655932,0.09946527290157973,0.036263044300721956,0.09853740974795074,0.1192996617872268,0.03422359657706693,0.05594553626142442,0.04772681469330564,0.42718073911964893
6,40.0,True,hbo,801589.0,2250.0,Zeker niet,True,Ja,False,"Ik kan geen kinderen meer krijgen. Mijn eileiders zijn vanwege een kanker gen verwijderd. Al zou het kunnen, dan zou ik geen kinderen meer willen. Met 40 jaar vind ik mijzelf te oud en komt de tijd om andere leuke dingen te gaan doen in het leven.",Ik kan geen kinderen meer krijgen. Mijn eileiders zijn vanwege een kanker gen verwijderd.,"Al zou het kunnen, dan zou ik geen kinderen meer willen. Met 40 jaar vind ik mijzelf te oud en komt de tijd om andere leuke dingen te gaan doen in het leven.",Koopwoning,0.05227455291897058,0.06555484193377197,0.07216679165139794,0.30568235097453,0.10156077523715794,0.0940682633430697,0.06545283864252269,0.07206201558001339,0.17117756977677345
7,34.0,False,hbo,801763.0,3700.0,Waarschijnlijk wel,True,Ja,True,Nu hebben we 2 gezonde kinderen. Dit jaar word ik 35 jaar en wil ook niet ouder dan 36 jaar zijn om nog zwanger te raken ivm eventuele risico's. Daarnaast willen we onze kinderen ook veel kunnen bieden erbij en een derde  kindje is toch ook weer een kostenpost. Gezondheid en geld,Nu hebben we 2 gezonde kinderen. Dit jaar word ik 35 jaar en wil ook niet ouder dan 36 jaar zijn om nog zwanger te raken ivm eventuele risico's. Daarnaast willen we onze kinderen ook veel kunnen bieden erbij en een derde  kindje is toch ook weer een kostenpost.,Gezondheid en geld,Koopwoning,0.1608079044148326,0.15705850888043643,0.11843336084857584,0.04096478358842433,0.046628512791357934,0.08350078737130388,0.2672599883750081,0.08038826463744045,0.04495789520442486
8,35.0,True,mbo,802264.0,,Zeker wel,False,Ja,True,geen vriend nog vaste huis goede relatie goede baan,geen vriend nog,vaste huis goede relatie goede baan,Koopwoning,0.0586119516636245,0.04808149948948994,0.03147486789093819,0.08314459755783901,0.06198049212107435,0.045528103632386775,0.059653083597368095,0.05755710115772672,0.5539683118462563
9,38.0,True,hbo,802391.0,1700.0,Zeker niet,True,Ja,False,Ik heb al 3 kinderen en ben al op leeftijd. Niet goed tijd en energie om voor meer kinderen te zorgen,Ik heb al 3 kinderen en ben al op leeftijd.,Niet goed tijd en energie om voor meer kinderen te zorgen,Koopwoning,0.09082222383003682,0.07487291601719334,0.07038981979712844,0.384346292167902,0.09859530422545504,0.095676309033297,0.07734407847747207,0.0426681783341337,0.06528485971502959
10,27.0,False,hbo,802612.0,3244.0,Weet het niet,False,Nee,False,Ik heb geen relatie. Ik heb geen relatie Ik weet niet of ik die binnen 3 jaar heb Ik heb geen relatie,Ik heb geen relatie.,Ik heb geen relatie Ik weet niet of ik die binnen 3 jaar heb Ik heb geen relatie,Huurwoning,0.100820782314986,0.056213570747058836,0.06111778385238722,0.06277749632718041,0.08026700536720455,0.08251940057380125,0.04079427905380726,0.08249272622633726,0.432996965944767
11,31.0,True,mbo,802850.0,1150.0,Zeker wel,True,Nee,True,Wij willen heel graag een groot gezin eerst wilde ik meer kinderen maar dat is bijna niet meer te betalen vooral de opvang is mega duur. '- ouder word -gezeligheid - verbonden,Wij willen heel graag een groot gezin eerst wilde ik meer kinderen maar dat is bijna niet meer te betalen vooral de opvang is mega duur.,'- ouder word -gezeligheid - verbonden,Koopwoning,0.05315618526656181,0.618301945924759,0.03810533711221069,0.03148983625287656,0.06163243115879595,0.058807080541737375,0.04833913917245809,0.059269511760794556,0.03089851895929314
12,41.0,True,hbo,802902.0,3300.0,Zeker niet,True,Ja,False,Mijn leeftijd. Ik vind dat ik voldoende kinderen heb. Overtuiging dat ik voldoende kinderen heb,Mijn leeftijd. Ik vind dat ik voldoende kinderen heb.,Overtuiging dat ik voldoende kinderen heb,Koopwoning,0.053060562280006704,0.06982357914093881,0.052544790055253546,0.4436244979500771,0.07112576575018466,0.09297279984457418,0.04028093651868403,0.07772248878027313,0.09884458360029384
13,40.0,False,wo,802960.0,2500.0,Weet het niet,True,Nee,False,"Hangt af van de privésituatie, momenteel alleenstaande moeder met wel latrelatie. Zou graag nog 3e kindje willen, maar ook mijn lft (nu 40) gaat meespelen Relatie Baan Financiën Gezondheid Leeftijd","Hangt af van de privésituatie, momenteel alleenstaande moeder met wel latrelatie. Zou graag nog 3e kindje willen, maar ook mijn lft (nu 40) gaat meespelen",Relatie Baan Financiën Gezondheid Leeftijd,Huurwoning,0.06969093810766935,0.4106949640437961,0.0922037141630426,0.05956892675021663,0.09568841462023556,0.06824484817916528,0.03711418360471726,0.07744851222087164,0.08934550294652581
14,38.0,True,wo,802984.0,3700.0,Zeker niet,False,Nee,False,"Ik heb nooit kinderen gewild en dat gaat ook zeker niet veranderd. Het zit niet in mijn DNA. Als mensen zeggen joh dat komt nog wel, antwoord ik altijd: dat is niet waar. Ik van op mannen en niet op vrouwen en ik wil geen kinderen. Geen van die dingen zal ooit nog veranderen. Geen specifieke aspecten. Ik wil geen kinderen punt.","Ik heb nooit kinderen gewild en dat gaat ook zeker niet veranderd. Het zit niet in mijn DNA. Als mensen zeggen joh dat komt nog wel, antwoord ik altijd: dat is niet waar. Ik van op mannen en niet op vrouwen en ik wil geen kinderen. Geen van die dingen zal ooit nog veranderen.",Geen specifieke aspecten. Ik wil geen kinderen punt.,Koopwoning,0.33673999942839145,0.06202347981743515,0.06958552409196272,0.08235376405064017,0.07654635260114447,0.1234346296172589,0.10835377373732627,0.08257797602564096,0.058384516113437715
